# Glossary in tab-separated format -*- coding: utf-8 -*-
pearóid-duine	parrot-man
leathdhuine-leathanacanda	half-man, half-anaconda
i gcogar	in a whisper
ar tí	(i) on the track of, in pursuit of, (ii) on the point of, about to.
a oiread	so much
ag súil	expecting
faoi mar	as if
is dóigh	I suppose
Fágadh ina staic é	he was rooted to the spot
ina ainneoin	in spite of
de réir mar	according to; as far as
	^^
cs	 béarla
duine	person
ní	2. Washing
aon	one/ace
cuid	portion
maith	goodness
bliain	year
cé	quay/wharf
ceann	head
rud	thing
Gaeilge	Irish (language)
lá	day
fear	man
fad	length
áit	place
am	time
Éire	Ireland
obair	work
céad	hundred/first
taobh	side
céile	spouse/companion
mac	son
teach	house
ceart	right
scéal	story
tír	country
saol	life
bith	existence
ceist	question
deireadh	end
bean	woman
dóigh	manner/way
fios	knowledge
uair	hour/time
alt	article
pobal	community
comhairle	advice/council
aghaidh	face
súil	eye
scoil	school
roinn	division/department
teanga	tongue/language
cás	case (box); case (state of affairs)
úsáid	(1) use	 usage; (2) manner of using	 treatment; (3) Jur: use; user
leith	half/side
oíche	night
Aire	Minister
baile	town/village
lucht	people
cúrsa	course
eolas	knowledge
méid	amount
caint	talk
leabhar	book
scríobh	writing
acht	act
acht	Doubt	 uncertainty.
seachtain	week
feidhm	1. function	 use. 2. undertaking. 3. need.
lámh	hand
ceap	last
ais	axis
mí	month
ábhar	material/subject
bealach	way/path
ard	height
páiste	child
muintir	people/family
airgead	money	 silver
béal	mouth; edge (of a blade); lip
bord	table
rialtas	government
stát	state
ainm	name
athair	father
dia	god
seirbhís	service
clár	board/program
talamh	land
focal	word
tús	beginning
beirt	two people
linn	pool
contae	county
foireann	team
meas	respect
measc	1. Lit: Jumble	 confusion [see prep phrase "i ~"]
bóthar	road
cónaí	residence
ceol	music
bás	death
cur	putting
ceantar	area
údarás	(1) authority; (2) jurisdiction	 power	 right to obedience; (3) delegated power; (4) authenticity; (5) self-assumed authority; (6) authoritative body; (7) local	 public authority; (8) ecclesiastical	 civil authority.
gá	need
cluiche	game
iomlán	total/whole
